Run,Well,plate
DDM_Slot1-33_1_1366,B9,1
DDM_Slot1-34_1_1367,B10,1
DDM_Slot1-35_1_1368,B11,1
DDM_Slot1-36_1_1369,B12,1
DDM_Slot1-37_1_1370,B13,1
DDM_Slot1-38_1_1371,B14,1
DDM_Slot1-39_1_1372,B15,1
DDM_Slot1-40_1_1373,B16,1
DDM_Slot1-47_1_1388,B23,1
DDM_Slot1-48_1_1389,B24,1
DDM_Slot1-81_1_1390,D9,1
DDM_Slot1-82_1_1391,D10,1
DDM_Slot1-83_1_1392,D11,1
DDM_Slot1-84_1_1393,D12,1
DDM_Slot1-85_1_1394,D13,1
DDM_Slot1-86_1_1395,D14,1
DDM_Slot1-87_1_1396,D15,1
DDM_Slot1-88_1_1397,D16,1
DDM_Slot1-89_1_1398,D17,1
DDM_Slot1-90_1_1399,D18,1
DDM_Slot1-91_1_1400,D19,1
DDM_Slot1-92_1_1401,D20,1
DDM_Slot1-93_1_1402,D21,1
DDM_Slot1-94_1_1403,D22,1
DDM_Slot1-95_1_1404,D23,1
DDM_Slot1-96_1_1405,D24,1
DDM_Slot1-97_1_1406,E1,1
DDM_Slot1-98_1_1407,E2,1
DDM_Slot1-99_1_1408,E3,1
DDM_Slot1-100_1_1409,E4,1
DDM_Slot1-101_1_1410,E5,1
DDM_Slot1-102_1_1411,E6,1
DDM_Slot1-103_1_1412,E7,1
DDM_Slot1-104_1_1413,E8,1
DDM_Slot1-105_1_1414,E9,1
DDM_Slot1-106_1_1415,E10,1
DDM_Slot1-107_1_1416,E11,1
DDM_Slot1-108_1_1417,E12,1
DDM_Slot1-109_1_1418,E13,1
DDM_Slot1-110_1_1419,E14,1
DDM_Slot1-111_1_1420,E15,1
DDM_Slot1-112_1_1421,E16,1